faixa;descricao;populacao_min;populacao_max;fonte;data_definicao
1;até 10.188;0;10188;Decreto-Lei 1.881/1981, Tabela VII (FPM Interior) — Cartilha FPM, STN/Tesouro Nacional, mar/2023;2026-08-31
2;10.189 a 13.584;10189;13584;Decreto-Lei 1.881/1981, Tabela VII;2026-08-31
3;13.585 a 16.980;13585;16980;Decreto-Lei 1.881/1981, Tabela VII;2026-08-31
4;16.981 a 23.772;16981;23772;Decreto-Lei 1.881/1981, Tabela VII;2026-08-31
5;23.773 a 30.564;23773;30564;Decreto-Lei 1.881/1981, Tabela VII;2026-08-31
6;30.565 a 37.356;30565;37356;Decreto-Lei 1.881/1981, Tabela VII;2026-08-31
7;37.357 a 44.148;37357;44148;Decreto-Lei 1.881/1981, Tabela VII;2026-08-31
8;44.149 a 50.940;44149;50940;Decreto-Lei 1.881/1981, Tabela VII;2026-08-31
9;50.941 a 61.128;50941;61128;Decreto-Lei 1.881/1981, Tabela VII;2026-08-31
10;61.129 a 71.316;61129;71316;Decreto-Lei 1.881/1981, Tabela VII;2026-08-31
11;71.317 a 81.504;71317;81504;Decreto-Lei 1.881/1981, Tabela VII;2026-08-31
12;81.505 a 91.692;81505;91692;Decreto-Lei 1.881/1981, Tabela VII;2026-08-31
13;91.693 a 101.880;91693;101880;Decreto-Lei 1.881/1981, Tabela VII;2026-08-31
14;101.881 a 115.464;101881;115464;Decreto-Lei 1.881/1981, Tabela VII;2026-08-31
15;115.465 a 129.048;115465;129048;Decreto-Lei 1.881/1981, Tabela VII;2026-08-31
16;129.049 a 142.632;129049;142632;Decreto-Lei 1.881/1981, Tabela VII;2026-08-31
17;142.633 a 156.216;142633;156216;Decreto-Lei 1.881/1981, Tabela VII;2026-08-31
18;acima de 156.216;156217;;Decreto-Lei 1.881/1981, Tabela VII;2026-08-31
