ano;esfera;categoria;valor_reais;fonte;data_extracao
2000;U;Impostos;77357529826.85;CTB-Resumo.xlsx;2026-09-02
2001;U;Impostos;90128571071.18;CTB-Resumo.xlsx;2026-09-02
2002;U;Impostos;106158657465.73;CTB-Resumo.xlsx;2026-09-02
2003;U;Impostos;113120197061.42;CTB-Resumo.xlsx;2026-09-02
2004;U;Impostos;126108382309.24;CTB-Resumo.xlsx;2026-09-02
2005;U;Impostos;151809482957.73;CTB-Resumo.xlsx;2026-09-02
2006;U;Impostos;165843672933.75;CTB-Resumo.xlsx;2026-09-02
2007;U;Impostos;195546271221.89;CTB-Resumo.xlsx;2026-09-02
2008;U;Impostos;248659447874.7;CTB-Resumo.xlsx;2026-09-02
2009;U;Impostos;235609120419.77;CTB-Resumo.xlsx;2026-09-02
2010;U;Impostos;275891196087.69;CTB-Resumo.xlsx;2026-09-02
2011;U;Impostos;331500736972.84;CTB-Resumo.xlsx;2026-09-02
2012;U;Impostos;340901477420.67;CTB-Resumo.xlsx;2026-09-02
2013;U;Impostos;369194804674.38;CTB-Resumo.xlsx;2026-09-02
2014;U;Impostos;393706693963.2;CTB-Resumo.xlsx;2026-09-02
2015;U;Impostos;417304684332.93;CTB-Resumo.xlsx;2026-09-02
2000;U;Contribuições Sociais;82011452707.1;CTB-Resumo.xlsx;2026-09-02
2001;U;Contribuições Sociais;95601596763.24;CTB-Resumo.xlsx;2026-09-02
2002;U;Contribuições Sociais;111834987086.41;CTB-Resumo.xlsx;2026-09-02
2003;U;Contribuições Sociais;130349938895.12;CTB-Resumo.xlsx;2026-09-02
2004;U;Contribuições Sociais;164501346031.79;CTB-Resumo.xlsx;2026-09-02
2005;U;Contribuições Sociais;184086868977.76;CTB-Resumo.xlsx;2026-09-02
2006;U;Contribuições Sociais;196421262763.06;CTB-Resumo.xlsx;2026-09-02
2007;U;Contribuições Sociais;223508053985.49;CTB-Resumo.xlsx;2026-09-02
2008;U;Contribuições Sociais;223525446792.97;CTB-Resumo.xlsx;2026-09-02
2009;U;Contribuições Sociais;224192420637.98;CTB-Resumo.xlsx;2026-09-02
2010;U;Contribuições Sociais;265084273097.63;CTB-Resumo.xlsx;2026-09-02
2011;U;Contribuições Sociais;303398847162.12;CTB-Resumo.xlsx;2026-09-02
2012;U;Contribuições Sociais;325121074835.32;CTB-Resumo.xlsx;2026-09-02
2013;U;Contribuições Sociais;360118358559.82;CTB-Resumo.xlsx;2026-09-02
2014;U;Contribuições Sociais;369955560755.42;CTB-Resumo.xlsx;2026-09-02
2015;U;Contribuições Sociais;380117264389.48;CTB-Resumo.xlsx;2026-09-02
2000;U;Previdência Social;55712837299.95;CTB-Resumo.xlsx;2026-09-02
2001;U;Previdência Social;62433581904.58;CTB-Resumo.xlsx;2026-09-02
2002;U;Previdência Social;69251553640.63;CTB-Resumo.xlsx;2026-09-02
2003;U;Previdência Social;79375176293.06;CTB-Resumo.xlsx;2026-09-02
2004;U;Previdência Social;93327546256.81;CTB-Resumo.xlsx;2026-09-02
2005;U;Previdência Social;106651704522.74;CTB-Resumo.xlsx;2026-09-02
2006;U;Previdência Social;121059434613.99;CTB-Resumo.xlsx;2026-09-02
2007;U;Previdência Social;138118073171.68;CTB-Resumo.xlsx;2026-09-02
2008;U;Previdência Social;158095680036.77;CTB-Resumo.xlsx;2026-09-02
2009;U;Previdência Social;178242841203.89;CTB-Resumo.xlsx;2026-09-02
2010;U;Previdência Social;210403698727.58;CTB-Resumo.xlsx;2026-09-02
2011;U;Previdência Social;242234138783.5;CTB-Resumo.xlsx;2026-09-02
2012;U;Previdência Social;269005614626.11;CTB-Resumo.xlsx;2026-09-02
2013;U;Previdência Social;292736100936.38;CTB-Resumo.xlsx;2026-09-02
2014;U;Previdência Social;312811263751.5;CTB-Resumo.xlsx;2026-09-02
2015;U;Previdência Social;315946964921.12;CTB-Resumo.xlsx;2026-09-02
2000;U;FGTS;18708530527.1;CTB-Resumo.xlsx;2026-09-02
2001;U;FGTS;21074052206.15;CTB-Resumo.xlsx;2026-09-02
2002;U;FGTS;22421996700.43;CTB-Resumo.xlsx;2026-09-02
2003;U;FGTS;24956352242.58;CTB-Resumo.xlsx;2026-09-02
2004;U;FGTS;28269333316.92;CTB-Resumo.xlsx;2026-09-02
2005;U;FGTS;32247877017.27;CTB-Resumo.xlsx;2026-09-02
2006;U;FGTS;36505404629.33;CTB-Resumo.xlsx;2026-09-02
2007;U;FGTS;41630508849.16;CTB-Resumo.xlsx;2026-09-02
2008;U;FGTS;48714379836.64;CTB-Resumo.xlsx;2026-09-02
2009;U;FGTS;54725947860.41;CTB-Resumo.xlsx;2026-09-02
2010;U;FGTS;61797213442.77;CTB-Resumo.xlsx;2026-09-02
2011;U;FGTS;72260939292.62;CTB-Resumo.xlsx;2026-09-02
2012;U;FGTS;83033513518.83;CTB-Resumo.xlsx;2026-09-02
2013;U;FGTS;94415141165.54;CTB-Resumo.xlsx;2026-09-02
2014;U;FGTS;104744192951.54;CTB-Resumo.xlsx;2026-09-02
2015;U;FGTS;113529384750.98;CTB-Resumo.xlsx;2026-09-02
2000;U;Demais;11241689188.25;CTB-Resumo.xlsx;2026-09-02
2001;U;Demais;12745925004.82;CTB-Resumo.xlsx;2026-09-02
2002;U;Demais;27459750200.72;CTB-Resumo.xlsx;2026-09-02
2003;U;Demais;29200179162.85;CTB-Resumo.xlsx;2026-09-02
2004;U;Demais;31237254460.56;CTB-Resumo.xlsx;2026-09-02
2005;U;Demais;40987923309.82;CTB-Resumo.xlsx;2026-09-02
2006;U;Demais;44766758948.86;CTB-Resumo.xlsx;2026-09-02
2007;U;Demais;47792794192.32;CTB-Resumo.xlsx;2026-09-02
2008;U;Demais;59746113339.86;CTB-Resumo.xlsx;2026-09-02
2009;U;Demais;53066349889.82;CTB-Resumo.xlsx;2026-09-02
2010;U;Demais;55560404341.08;CTB-Resumo.xlsx;2026-09-02
2011;U;Demais;67612432907.17;CTB-Resumo.xlsx;2026-09-02
2012;U;Demais;93093480670.97;CTB-Resumo.xlsx;2026-09-02
2013;U;Demais;91923030892.77;CTB-Resumo.xlsx;2026-09-02
2014;U;Demais;84975284550.64;CTB-Resumo.xlsx;2026-09-02
2015;U;Demais;72225515502.87;CTB-Resumo.xlsx;2026-09-02
2000;E;ICMS;82274924000.0;CTB-Resumo.xlsx;2026-09-02
2001;E;ICMS;92126565580.02;CTB-Resumo.xlsx;2026-09-02
2002;E;ICMS;102951677537.05;CTB-Resumo.xlsx;2026-09-02
2003;E;ICMS;117135264136.03;CTB-Resumo.xlsx;2026-09-02
2004;E;ICMS;136580385025.33;CTB-Resumo.xlsx;2026-09-02
2005;E;ICMS;152367546741.1;CTB-Resumo.xlsx;2026-09-02
2006;E;ICMS;165666357598.86;CTB-Resumo.xlsx;2026-09-02
2007;E;ICMS;183537232943.23;CTB-Resumo.xlsx;2026-09-02
2008;E;ICMS;217297921705.38;CTB-Resumo.xlsx;2026-09-02
2009;E;ICMS;225337152460.26;CTB-Resumo.xlsx;2026-09-02
2010;E;ICMS;264745993474.58;CTB-Resumo.xlsx;2026-09-02
2011;E;ICMS;294378873021.69;CTB-Resumo.xlsx;2026-09-02
2012;E;ICMS;323415282340.8;CTB-Resumo.xlsx;2026-09-02
2013;E;ICMS;357383159195.38;CTB-Resumo.xlsx;2026-09-02
2014;E;ICMS;381249761085.64;CTB-Resumo.xlsx;2026-09-02
2015;E;ICMS;391983535992.55;CTB-Resumo.xlsx;2026-09-02
2000;E;IPVA;5296891000.0;CTB-Resumo.xlsx;2026-09-02
2001;E;IPVA;6218310736.01;CTB-Resumo.xlsx;2026-09-02
2002;E;IPVA;6944760533.51;CTB-Resumo.xlsx;2026-09-02
2003;E;IPVA;7643545505.16;CTB-Resumo.xlsx;2026-09-02
2004;E;IPVA;8812940626.73;CTB-Resumo.xlsx;2026-09-02
2005;E;IPVA;10387591113.85;CTB-Resumo.xlsx;2026-09-02
2006;E;IPVA;12064105158.21;CTB-Resumo.xlsx;2026-09-02
2007;E;IPVA;14286212447.48;CTB-Resumo.xlsx;2026-09-02
2008;E;IPVA;16629265263.44;CTB-Resumo.xlsx;2026-09-02
2009;E;IPVA;20071087781.52;CTB-Resumo.xlsx;2026-09-02
2010;E;IPVA;21277523129.35;CTB-Resumo.xlsx;2026-09-02
2011;E;IPVA;23939386537.41;CTB-Resumo.xlsx;2026-09-02
2012;E;IPVA;26685160329.12;CTB-Resumo.xlsx;2026-09-02
2013;E;IPVA;28809676666.69;CTB-Resumo.xlsx;2026-09-02
2014;E;IPVA;31271538787.67;CTB-Resumo.xlsx;2026-09-02
2015;E;IPVA;34912678887.92;CTB-Resumo.xlsx;2026-09-02
2000;E;Demais;13980898948.0;CTB-Resumo.xlsx;2026-09-02
2001;E;Demais;18254282281.12;CTB-Resumo.xlsx;2026-09-02
2002;E;Demais;21312521119.03;CTB-Resumo.xlsx;2026-09-02
2003;E;Demais;25805884847.57;CTB-Resumo.xlsx;2026-09-02
2004;E;Demais;30882128788.87;CTB-Resumo.xlsx;2026-09-02
2005;E;Demais;34043120569.29;CTB-Resumo.xlsx;2026-09-02
2006;E;Demais;39323788931.59;CTB-Resumo.xlsx;2026-09-02
2007;E;Demais;41054992727.75;CTB-Resumo.xlsx;2026-09-02
2008;E;Demais;45049586028.83;CTB-Resumo.xlsx;2026-09-02
2009;E;Demais;45971655825.74;CTB-Resumo.xlsx;2026-09-02
2010;E;Demais;56269971776.25;CTB-Resumo.xlsx;2026-09-02
2011;E;Demais;62890513167.97;CTB-Resumo.xlsx;2026-09-02
2012;E;Demais;71655488143.37;CTB-Resumo.xlsx;2026-09-02
2013;E;Demais;80939922838.84;CTB-Resumo.xlsx;2026-09-02
2014;E;Demais;91357316256.0;CTB-Resumo.xlsx;2026-09-02
2015;E;Demais;100968429642.38;CTB-Resumo.xlsx;2026-09-02
2000;M;ISS;6709391896.07;CTB-Resumo.xlsx;2026-09-02
2001;M;ISS;7445930448.84;CTB-Resumo.xlsx;2026-09-02
2002;M;ISS;8495296449.93;CTB-Resumo.xlsx;2026-09-02
2003;M;ISS;9674000259.86;CTB-Resumo.xlsx;2026-09-02
2004;M;ISS;11681605275.1;CTB-Resumo.xlsx;2026-09-02
2005;M;ISS;14049918443.39;CTB-Resumo.xlsx;2026-09-02
2006;M;ISS;16916468680.18;CTB-Resumo.xlsx;2026-09-02
2007;M;ISS;19740562864.66;CTB-Resumo.xlsx;2026-09-02
2008;M;ISS;23821352022.13;CTB-Resumo.xlsx;2026-09-02
2009;M;ISS;26190433288.04;CTB-Resumo.xlsx;2026-09-02
2010;M;ISS;31407240443.99;CTB-Resumo.xlsx;2026-09-02
2011;M;ISS;36656296818.84;CTB-Resumo.xlsx;2026-09-02
2012;M;ISS;42316509592.66;CTB-Resumo.xlsx;2026-09-02
2013;M;ISS;45783504649.34;CTB-Resumo.xlsx;2026-09-02
2014;M;ISS;50493151794.88;CTB-Resumo.xlsx;2026-09-02
2015;M;ISS;54074215310.5;CTB-Resumo.xlsx;2026-09-02
2000;M;IPTU;5558658423.25;CTB-Resumo.xlsx;2026-09-02
2001;M;IPTU;5979395291.47;CTB-Resumo.xlsx;2026-09-02
2002;M;IPTU;6963961194.05;CTB-Resumo.xlsx;2026-09-02
2003;M;IPTU;8091733552.96;CTB-Resumo.xlsx;2026-09-02
2004;M;IPTU;9508653459.9;CTB-Resumo.xlsx;2026-09-02
2005;M;IPTU;9910177490.74;CTB-Resumo.xlsx;2026-09-02
2006;M;IPTU;10870440675.32;CTB-Resumo.xlsx;2026-09-02
2007;M;IPTU;11879156686.15;CTB-Resumo.xlsx;2026-09-02
2008;M;IPTU;12857911024.08;CTB-Resumo.xlsx;2026-09-02
2009;M;IPTU;14184849605.03;CTB-Resumo.xlsx;2026-09-02
2010;M;IPTU;16364693568.25;CTB-Resumo.xlsx;2026-09-02
2011;M;IPTU;18378709162.54;CTB-Resumo.xlsx;2026-09-02
2012;M;IPTU;20246647526.21;CTB-Resumo.xlsx;2026-09-02
2013;M;IPTU;22580857568.78;CTB-Resumo.xlsx;2026-09-02
2014;M;IPTU;25042156666.29;CTB-Resumo.xlsx;2026-09-02
2015;M;IPTU;28085178097.27;CTB-Resumo.xlsx;2026-09-02
2000;M;Demais;8592341928.21;CTB-Resumo.xlsx;2026-09-02
2001;M;Demais;9638423239.87;CTB-Resumo.xlsx;2026-09-02
2002;M;Demais;11629648357.21;CTB-Resumo.xlsx;2026-09-02
2003;M;Demais;14662595444.33;CTB-Resumo.xlsx;2026-09-02
2004;M;Demais;17343381468.23;CTB-Resumo.xlsx;2026-09-02
2005;M;Demais;17642079980.69;CTB-Resumo.xlsx;2026-09-02
2006;M;Demais;20098071711.79;CTB-Resumo.xlsx;2026-09-02
2007;M;Demais;23725619433.42;CTB-Resumo.xlsx;2026-09-02
2008;M;Demais;26488783261.98;CTB-Resumo.xlsx;2026-09-02
2009;M;Demais;27782216706.4;CTB-Resumo.xlsx;2026-09-02
2010;M;Demais;32559877418.8;CTB-Resumo.xlsx;2026-09-02
2011;M;Demais;38353066119.18;CTB-Resumo.xlsx;2026-09-02
2012;M;Demais;42636890984.95;CTB-Resumo.xlsx;2026-09-02
2013;M;Demais;48361516187.96;CTB-Resumo.xlsx;2026-09-02
2014;M;Demais;54174354872.09;CTB-Resumo.xlsx;2026-09-02
2015;M;Demais;59883143845.36;CTB-Resumo.xlsx;2026-09-02
