ano;base_incidencia;valor_reais;fonte;data_extracao
2000;Bens e Serviços;163182039684.5;CTB-Resumo.xlsx;2026-09-02
2001;Bens e Serviços;186153163764.91;CTB-Resumo.xlsx;2026-09-02
2002;Bens e Serviços;211351490960.08;CTB-Resumo.xlsx;2026-09-02
2003;Bens e Serviços;242660041469.8;CTB-Resumo.xlsx;2026-09-02
2004;Bens e Serviços;292031054572.22;CTB-Resumo.xlsx;2026-09-02
2005;Bens e Serviços;326807225685.79;CTB-Resumo.xlsx;2026-09-02
2006;Bens e Serviços;354001319360.8;CTB-Resumo.xlsx;2026-09-02
2007;Bens e Serviços;393116809764.39;CTB-Resumo.xlsx;2026-09-02
2008;Bens e Serviços;465849644171.77;CTB-Resumo.xlsx;2026-09-02
2009;Bens e Serviços;457252855737.46;CTB-Resumo.xlsx;2026-09-02
2010;Bens e Serviços;553961464040.51;CTB-Resumo.xlsx;2026-09-02
2011;Bens e Serviços;620837849955.22;CTB-Resumo.xlsx;2026-09-02
2012;Bens e Serviços;681167485617.42;CTB-Resumo.xlsx;2026-09-02
2013;Bens e Serviços;740499067353.49;CTB-Resumo.xlsx;2026-09-02
2014;Bens e Serviços;782139228724.79;CTB-Resumo.xlsx;2026-09-02
2015;Bens e Serviços;795547774977.77;CTB-Resumo.xlsx;2026-09-02
2000;Salários e Mão de Obra;85366971160.38;CTB-Resumo.xlsx;2026-09-02
2001;Salários e Mão de Obra;101042773550.99;CTB-Resumo.xlsx;2026-09-02
2002;Salários e Mão de Obra;116004691937.3;CTB-Resumo.xlsx;2026-09-02
2003;Salários e Mão de Obra;133061965182.9;CTB-Resumo.xlsx;2026-09-02
2004;Salários e Mão de Obra;157936403141.28;CTB-Resumo.xlsx;2026-09-02
2005;Salários e Mão de Obra;176076393390.91;CTB-Resumo.xlsx;2026-09-02
2006;Salários e Mão de Obra;198572266314.43;CTB-Resumo.xlsx;2026-09-02
2007;Salários e Mão de Obra;224215682191.8;CTB-Resumo.xlsx;2026-09-02
2008;Salários e Mão de Obra;254972629913.74;CTB-Resumo.xlsx;2026-09-02
2009;Salários e Mão de Obra;284567549855.42;CTB-Resumo.xlsx;2026-09-02
