ano;esfera;rubrica;valor_reais;fonte;data_extracao
2000;U;IR;48051029648.75;CTB-Resumo.xlsx;2026-09-02
2001;U;IR;58452662197.71;CTB-Resumo.xlsx;2026-09-02
2002;U;IR;75551116416.23;CTB-Resumo.xlsx;2026-09-02
2003;U;IR;82421690026.64;CTB-Resumo.xlsx;2026-09-02
2004;U;IR;90362733549.11;CTB-Resumo.xlsx;2026-09-02
2005;U;IR;112571531495.88;CTB-Resumo.xlsx;2026-09-02
2006;U;IR;122184868806.27;CTB-Resumo.xlsx;2026-09-02
2007;U;IR;143960791397.77;CTB-Resumo.xlsx;2026-09-02
2008;U;IR;174299368974.49;CTB-Resumo.xlsx;2026-09-02
2009;U;IR;172601417269.7;CTB-Resumo.xlsx;2026-09-02
2010;U;IR;190549875111.17;CTB-Resumo.xlsx;2026-09-02
2011;U;IR;231299450933.86;CTB-Resumo.xlsx;2026-09-02
2012;U;IR;235641371300.85;CTB-Resumo.xlsx;2026-09-02
2013;U;IR;259614108020.0;CTB-Resumo.xlsx;2026-09-02
2014;U;IR;277400301782.72;CTB-Resumo.xlsx;2026-09-02
2015;U;IR;294598939518.56;CTB-Resumo.xlsx;2026-09-02
2000;U;IPI;17553938179.35;CTB-Resumo.xlsx;2026-09-02
2001;U;IPI;18837489752.44;CTB-Resumo.xlsx;2026-09-02
2002;U;IPI;18471561741.29;CTB-Resumo.xlsx;2026-09-02
2003;U;IPI;17923868129.81;CTB-Resumo.xlsx;2026-09-02
2004;U;IPI;21059034183.62;CTB-Resumo.xlsx;2026-09-02
2005;U;IPI;24061421317.65;CTB-Resumo.xlsx;2026-09-02
2006;U;IPI;26780064494.21;CTB-Resumo.xlsx;2026-09-02
2007;U;IPI;31240028077.38;CTB-Resumo.xlsx;2026-09-02
2008;U;IPI;36695285377.91;CTB-Resumo.xlsx;2026-09-02
2009;U;IPI;27598789248.5;CTB-Resumo.xlsx;2026-09-02
2010;U;IPI;37255019833.28;CTB-Resumo.xlsx;2026-09-02
