ano;pib_reais;populacao;fonte;data_extracao
2000;1202377215770.0;173448346;CTB-Resumo.xlsx;2026-09-02
2001;1315755000000.0;173448346;CTB-Resumo.xlsx;2026-09-02
2002;1488787000000.0;178276128;CTB-Resumo.xlsx;2026-09-02
2003;1717950000000.0;180619108;CTB-Resumo.xlsx;2026-09-02
2004;1957751000000.0;182911487;CTB-Resumo.xlsx;2026-09-02
2005;2170585000000.0;185150806;CTB-Resumo.xlsx;2026-09-02
2006;2409450000000.0;187335137;CTB-Resumo.xlsx;2026-09-02
2007;2720263000000.0;189462755;CTB-Resumo.xlsx;2026-09-02
2008;3109803000000.0;191532439;CTB-Resumo.xlsx;2026-09-02
2009;3333039000000.0;193543969;CTB-Resumo.xlsx;2026-09-02
2010;3885847000000.0;195497797;CTB-Resumo.xlsx;2026-09-02
2011;4376382000000.0;197397018;CTB-Resumo.xlsx;2026-09-02
2012;4814760000000.0;199242462;CTB-Resumo.xlsx;2026-09-02
2013;5331619000000.0;201032714;CTB-Resumo.xlsx;2026-09-02
2014;5778953000000.0;202768562;CTB-Resumo.xlsx;2026-09-02
2015;5995787000000.0;204450649;CTB-Resumo.xlsx;2026-09-02
