ano;tributo;valor_reais;fonte;data_extracao
2000;ICMS;82274924000.0;CTB-Resumo.xlsx;2026-09-02
2001;ICMS;92126565580.02;CTB-Resumo.xlsx;2026-09-02
2002;ICMS;102951677537.05;CTB-Resumo.xlsx;2026-09-02
2003;ICMS;117135264136.03;CTB-Resumo.xlsx;2026-09-02
2004;ICMS;136580385025.33;CTB-Resumo.xlsx;2026-09-02
2005;ICMS;152367546741.1;CTB-Resumo.xlsx;2026-09-02
2006;ICMS;165666357598.86;CTB-Resumo.xlsx;2026-09-02
2007;ICMS;183537232943.23;CTB-Resumo.xlsx;2026-09-02
2008;ICMS;217297921705.38;CTB-Resumo.xlsx;2026-09-02
2009;ICMS;225337152460.26;CTB-Resumo.xlsx;2026-09-02
2010;ICMS;264745993474.58;CTB-Resumo.xlsx;2026-09-02
2011;ICMS;294378873021.69;CTB-Resumo.xlsx;2026-09-02
2012;ICMS;323415282340.8;CTB-Resumo.xlsx;2026-09-02
2013;ICMS;357383159195.38;CTB-Resumo.xlsx;2026-09-02
2014;ICMS;381249761085.64;CTB-Resumo.xlsx;2026-09-02
2015;ICMS;391983535992.55;CTB-Resumo.xlsx;2026-09-02
2000;Previdência Social Ampliada;61041663313.61;CTB-Resumo.xlsx;2026-09-02
2001;Previdência Social Ampliada;68736968268.22;CTB-Resumo.xlsx;2026-09-02
2002;Previdência Social Ampliada;76204929168.9;CTB-Resumo.xlsx;2026-09-02
2003;Previdência Social Ampliada;87261407312.4;CTB-Resumo.xlsx;2026-09-02
2004;Previdência Social Ampliada;103071913027.41;CTB-Resumo.xlsx;2026-09-02
2005;Previdência Social Ampliada;117355334330.16;CTB-Resumo.xlsx;2026-09-02
2006;Previdência Social Ampliada;133591682081.75;CTB-Resumo.xlsx;2026-09-02
2007;Previdência Social Ampliada;151798173719.53;CTB-Resumo.xlsx;2026-09-02
2008;Previdência Social Ampliada;174698422316.11;CTB-Resumo.xlsx;2026-09-02
2009;Previdência Social Ampliada;196355294068.41;CTB-Resumo.xlsx;2026-09-02
2010;Previdência Social Ampliada;231340097804.62;CTB-Resumo.xlsx;2026-09-02
2011;Previdência Social Ampliada;267012220766.12;CTB-Resumo.xlsx;2026-09-02
2012;Previdência Social Ampliada;297299043586.15;CTB-Resumo.xlsx;2026-09-02
2013;Previdência Social Ampliada;324628220622.91;CTB-Resumo.xlsx;2026-09-02
2014;Previdência Social Ampliada;347970284094.52;CTB-Resumo.xlsx;2026-09-02
2015;Previdência Social Ampliada;350681092074.58;CTB-Resumo.xlsx;2026-09-02
2000;Imposto de Renda (Global);53564799454.2;CTB-Resumo.xlsx;2026-09-02
2001;Imposto de Renda (Global);64908965339.15;CTB-Resumo.xlsx;2026-09-02
2002;Imposto de Renda (Global);82985837813.64;CTB-Resumo.xlsx;2026-09-02
2003;Imposto de Renda (Global);91303066520.37;CTB-Resumo.xlsx;2026-09-02
2004;Imposto de Renda (Global);100889932701.01;CTB-Resumo.xlsx;2026-09-02
2005;Imposto de Renda (Global);123638906483.76;CTB-Resumo.xlsx;2026-09-02
2006;Imposto de Renda (Global);135755177934.75;CTB-Resumo.xlsx;2026-09-02
2007;Imposto de Renda (Global);159294386656.99;CTB-Resumo.xlsx;2026-09-02
2008;Imposto de Renda (Global);192184705548.82;CTB-Resumo.xlsx;2026-09-02
2009;Imposto de Renda (Global);189694448717.6;CTB-Resumo.xlsx;2026-09-02
2010;Imposto de Renda (Global);212675828893.04;CTB-Resumo.xlsx;2026-09-02
2011;Imposto de Renda (Global);257458184933.26;CTB-Resumo.xlsx;2026-09-02
2012;Imposto de Renda (Global);264391770622.17;CTB-Resumo.xlsx;2026-09-02
2013;Imposto de Renda (Global);291376056646.41;CTB-Resumo.xlsx;2026-09-02
2014;Imposto de Renda (Global);317193349967.1;CTB-Resumo.xlsx;2026-09-02
2015;Imposto de Renda (Global);340250352965.15;CTB-Resumo.xlsx;2026-09-02
2000;Cofins;38634038693.97;CTB-Resumo.xlsx;2026-09-02
2001;Cofins;45678823204.41;CTB-Resumo.xlsx;2026-09-02
2002;Cofins;50855605865.24;CTB-Resumo.xlsx;2026-09-02
2003;Cofins;57522166297.6;CTB-Resumo.xlsx;2026-09-02
2004;Cofins;77290068584.17;CTB-Resumo.xlsx;2026-09-02
2005;Cofins;86532235198.11;CTB-Resumo.xlsx;2026-09-02
2006;Cofins;89096351174.71;CTB-Resumo.xlsx;2026-09-02
2007;Cofins;100555551479.61;CTB-Resumo.xlsx;2026-09-02
2008;Cofins;118431049041.62;CTB-Resumo.xlsx;2026-09-02
2009;Cofins;114723933553.84;CTB-Resumo.xlsx;2026-09-02
2010;Cofins;138636003940.68;CTB-Resumo.xlsx;2026-09-02
2011;Cofins;158166764462.88;CTB-Resumo.xlsx;2026-09-02
2012;Cofins;174625997427.32;CTB-Resumo.xlsx;2026-09-02
2013;Cofins;193124826233.55;CTB-Resumo.xlsx;2026-09-02
2014;Cofins;193552408749.18;CTB-Resumo.xlsx;2026-09-02
2015;Cofins;199344702156.8;CTB-Resumo.xlsx;2026-09-02
2000;FGTS;18708530527.1;CTB-Resumo.xlsx;2026-09-02
2001;FGTS;21074052206.15;CTB-Resumo.xlsx;2026-09-02
2002;FGTS;22421996700.43;CTB-Resumo.xlsx;2026-09-02
2003;FGTS;24956352242.58;CTB-Resumo.xlsx;2026-09-02
2004;FGTS;28269333316.92;CTB-Resumo.xlsx;2026-09-02
2005;FGTS;32247877017.27;CTB-Resumo.xlsx;2026-09-02
2006;FGTS;36505404629.33;CTB-Resumo.xlsx;2026-09-02
2007;FGTS;41630508849.16;CTB-Resumo.xlsx;2026-09-02
2008;FGTS;48714379836.64;CTB-Resumo.xlsx;2026-09-02
2009;FGTS;54725947860.41;CTB-Resumo.xlsx;2026-09-02
2010;FGTS;61797213442.77;CTB-Resumo.xlsx;2026-09-02
2011;FGTS;72260939292.62;CTB-Resumo.xlsx;2026-09-02
2012;FGTS;83033513518.83;CTB-Resumo.xlsx;2026-09-02
2013;FGTS;94415141165.54;CTB-Resumo.xlsx;2026-09-02
2014;FGTS;104744192951.54;CTB-Resumo.xlsx;2026-09-02
2015;FGTS;113529384750.98;CTB-Resumo.xlsx;2026-09-02
2000;IPI;14396561393.03;CTB-Resumo.xlsx;2026-09-02
2001;IPI;17157001518.51;CTB-Resumo.xlsx;2026-09-02
2002;IPI;20266821600.15;CTB-Resumo.xlsx;2026-09-02
2003;IPI;22984137823.43;CTB-Resumo.xlsx;2026-09-02
2004;IPI;26393531023.0;CTB-Resumo.xlsx;2026-09-02
2005;IPI;28995769701.34;CTB-Resumo.xlsx;2026-09-02
2006;IPI;31935232806.38;CTB-Resumo.xlsx;2026-09-02
2007;IPI;36319612692.87;CTB-Resumo.xlsx;2026-09-02
2008;IPI;971299092.23;CTB-Resumo.xlsx;2026-09-02
2009;IPI;27598789248.5;CTB-Resumo.xlsx;2026-09-02
2010;IPI;37255019833.28;CTB-Resumo.xlsx;2026-09-02
2011;IPI;41140073034.15;CTB-Resumo.xlsx;2026-09-02
2012;IPI;42566775107.9;CTB-Resumo.xlsx;2026-09-02
2013;IPI;42706264774.8;CTB-Resumo.xlsx;2026-09-02
2014;IPI;48910482261.37;CTB-Resumo.xlsx;2026-09-02
2015;IPI;47961109658.98;CTB-Resumo.xlsx;2026-09-02
2000;Contrib. Lucro;17553938179.35;CTB-Resumo.xlsx;2026-09-02
2001;Contrib. Lucro;18837489752.44;CTB-Resumo.xlsx;2026-09-02
2002;Contrib. Lucro;18471561741.29;CTB-Resumo.xlsx;2026-09-02
2003;Contrib. Lucro;17923868129.81;CTB-Resumo.xlsx;2026-09-02
2004;Contrib. Lucro;21059034183.62;CTB-Resumo.xlsx;2026-09-02
2005;Contrib. Lucro;24061421317.65;CTB-Resumo.xlsx;2026-09-02
2006;Contrib. Lucro;26780064494.21;CTB-Resumo.xlsx;2026-09-02
2007;Contrib. Lucro;31240028077.38;CTB-Resumo.xlsx;2026-09-02
2008;Contrib. Lucro;36695285377.91;CTB-Resumo.xlsx;2026-09-02
2009;Contrib. Lucro;42808449156.0;CTB-Resumo.xlsx;2026-09-02
2010;Contrib. Lucro;45199615522.7;CTB-Resumo.xlsx;2026-09-02
2011;Contrib. Lucro;56964314448.21;CTB-Resumo.xlsx;2026-09-02
2012;Contrib. Lucro;55608133454.89;CTB-Resumo.xlsx;2026-09-02
2013;Contrib. Lucro;59775636327.71;CTB-Resumo.xlsx;2026-09-02
2014;Contrib. Lucro;61590539157.7;CTB-Resumo.xlsx;2026-09-02
