ano;esfera;valor_reais;fonte;data_extracao
2000;U;205260469101.25;CTB-Resumo.xlsx;2026-09-02
2001;U;236207820062.45;CTB-Resumo.xlsx;2026-09-02
2002;U;281321570602.87;CTB-Resumo.xlsx;2026-09-02
2003;U;317235564296.58;CTB-Resumo.xlsx;2026-09-02
2004;U;375932018198.16;CTB-Resumo.xlsx;2026-09-02
2005;U;432254097831.07;CTB-Resumo.xlsx;2026-09-02
2006;U;472062122341.93;CTB-Resumo.xlsx;2026-09-02
2007;U;541802067592.34;CTB-Resumo.xlsx;2026-09-02
2008;U;610296134491.07;CTB-Resumo.xlsx;2026-09-02
2009;U;618832484071.93;CTB-Resumo.xlsx;2026-09-02
2010;U;729139710979.42;CTB-Resumo.xlsx;2026-09-02
2011;U;846076215795.73;CTB-Resumo.xlsx;2026-09-02
2012;U;939139562983.61;CTB-Resumo.xlsx;2026-09-02
2013;U;1020096853890.76;CTB-Resumo.xlsx;2026-09-02
2014;U;1057904075491.99;CTB-Resumo.xlsx;2026-09-02
2015;U;1085892856208.48;CTB-Resumo.xlsx;2026-09-02
2000;E;98055303680.01;CTB-Resumo.xlsx;2026-09-02
2001;E;112708973774.44;CTB-Resumo.xlsx;2026-09-02
2002;E;128667367784.56;CTB-Resumo.xlsx;2026-09-02
2003;E;145538358057.93;CTB-Resumo.xlsx;2026-09-02
2004;E;169170445622.56;CTB-Resumo.xlsx;2026-09-02
2005;E;192621180127.93;CTB-Resumo.xlsx;2026-09-02
2006;E;212535254219.07;CTB-Resumo.xlsx;2026-09-02
2007;E;233176157459.0;CTB-Resumo.xlsx;2026-09-02
2008;E;276323183748.33;CTB-Resumo.xlsx;2026-09-02
2009;E;278202035753.99;CTB-Resumo.xlsx;2026-09-02
2010;E;324015055525.41;CTB-Resumo.xlsx;2026-09-02
2011;E;367144254870.72;CTB-Resumo.xlsx;2026-09-02
2012;E;401730308175.39;CTB-Resumo.xlsx;2026-09-02
2013;E;437038891747.03;CTB-Resumo.xlsx;2026-09-02
2014;E;475082953242.26;CTB-Resumo.xlsx;2026-09-02
2015;E;493480274429.86;CTB-Resumo.xlsx;2026-09-02
2000;M;64129372963.52;CTB-Resumo.xlsx;2026-09-02
2001;M;72729840690.41;CTB-Resumo.xlsx;2026-09-02
2002;M;85435871897.27;CTB-Resumo.xlsx;2026-09-02
2003;M;97240945046.44;CTB-Resumo.xlsx;2026-09-02
2004;M;113150493198.76;CTB-Resumo.xlsx;2026-09-02
2005;M;129309013165.38;CTB-Resumo.xlsx;2026-09-02
2006;M;144938390083.94;CTB-Resumo.xlsx;2026-09-02
2007;M;165841253471.89;CTB-Resumo.xlsx;2026-09-02
2008;M;194266568947.38;CTB-Resumo.xlsx;2026-09-02
2009;M;208339555852.94;CTB-Resumo.xlsx;2026-09-02
2010;M;238207319003.14;CTB-Resumo.xlsx;2026-09-02
2011;M;278383469279.42;CTB-Resumo.xlsx;2026-09-02
2012;M;297241268830.01;CTB-Resumo.xlsx;2026-09-02
2013;M;335110327698.08;CTB-Resumo.xlsx;2026-09-02
2014;M;366794246700.62;CTB-Resumo.xlsx;2026-09-02
2015;M;389657865035.01;CTB-Resumo.xlsx;2026-09-02
