ano;bloco_origem;bloco_destino;modalidade;valor_reais;fonte;data_extracao
2000;U;E;FPE;12182458536.42;CTB-Resumo.xlsx;2026-09-02
2001;U;E;FPE;14336497892.79;CTB-Resumo.xlsx;2026-09-02
2002;U;E;FPE;17742619526.22;CTB-Resumo.xlsx;2026-09-02
2003;U;E;FPE;18457708494.36;CTB-Resumo.xlsx;2026-09-02
2004;U;E;FPE;20345552423.42;CTB-Resumo.xlsx;2026-09-02
2005;U;E;FPE;25463501920.09;CTB-Resumo.xlsx;2026-09-02
2006;U;E;FPE;28180910502.02;CTB-Resumo.xlsx;2026-09-02
2007;U;E;FPE;32009695627.33;CTB-Resumo.xlsx;2026-09-02
2008;U;E;FPE;38350492390.73;CTB-Resumo.xlsx;2026-09-02
2009;U;E;FPE;36206411388.02;CTB-Resumo.xlsx;2026-09-02
2010;U;E;FPE;39024096594.7;CTB-Resumo.xlsx;2026-09-02
2011;U;E;FPE;48070192495.77;CTB-Resumo.xlsx;2026-09-02
2012;U;E;FPE;49564485811.46;CTB-Resumo.xlsx;2026-09-02
2013;U;E;FPE;53304168348.97;CTB-Resumo.xlsx;2026-09-02
2014;U;E;FPE;58086157910.52;CTB-Resumo.xlsx;2026-09-02
2015;U;E;FPE;61105697847.03;CTB-Resumo.xlsx;2026-09-02
2000;U;E;FPEx;1499535562.16;CTB-Resumo.xlsx;2026-09-02
2001;U;E;FPEx;1613313220.9;CTB-Resumo.xlsx;2026-09-02
2002;U;E;FPEx;1596402198.63;CTB-Resumo.xlsx;2026-09-02
2003;U;E;FPEx;1533246319.49;CTB-Resumo.xlsx;2026-09-02
2004;U;E;FPEx;1830519519.95;CTB-Resumo.xlsx;2026-09-02
2005;U;E;FPEx;2077516167.96;CTB-Resumo.xlsx;2026-09-02
2006;U;E;FPEx;2339758710.94;CTB-Resumo.xlsx;2026-09-02
2007;U;E;FPEx;2666539540.7;CTB-Resumo.xlsx;2026-09-02
2008;U;E;FPEx;2951036864.81;CTB-Resumo.xlsx;2026-09-02
2009;U;E;FPEx;2263212671.78;CTB-Resumo.xlsx;2026-09-02
2010;U;E;FPEx;2948406851.5;CTB-Resumo.xlsx;2026-09-02
2011;U;E;FPEx;3528161452.34;CTB-Resumo.xlsx;2026-09-02
