"Regiao";"UF";"Ano";"Transferência";"Valor Consolidado"
"Centro-Oeste";"DF";"2016";"FUNDEB - FPE";"R$119.948.090,19"
"Centro-Oeste";"DF";"2016";"FUNDEB - FPM";"R$31.000.731,82"
"Centro-Oeste";"DF";"2016";"FUNDEB - ICMS";"R$1.522.100.000,00"
"Centro-Oeste";"DF";"2016";"FUNDEB - IPI-EXP";"R$1.405.257,87"
"Centro-Oeste";"DF";"2016";"FUNDEB - IPVA";"R$210.000.000,00"
"Centro-Oeste";"DF";"2016";"FUNDEB - ITCMD";"R$25.500.000,00"
"Centro-Oeste";"DF";"2016";"FUNDEB - ITR";"R$202.591,96"
"Centro-Oeste";"DF";"2016";"FUNDEB - LC 87";"R$3.158.025,00"
"Centro-Oeste";"DF";"2017";"FUNDEB - COUN";"R$0,00"
"Centro-Oeste";"DF";"2017";"FUNDEB - FPE";"R$114.767.998,73"
"Centro-Oeste";"DF";"2017";"FUNDEB - FPM";"R$29.965.052,81"
"Centro-Oeste";"DF";"2017";"FUNDEB - ICMS";"R$1.578.778.804,91"
"Centro-Oeste";"DF";"2017";"FUNDEB - IPI-EXP";"R$1.720.037,14"
"Centro-Oeste";"DF";"2017";"FUNDEB - IPVA";"R$230.880.000,00"
"Centro-Oeste";"DF";"2017";"FUNDEB - ITCMD";"R$31.760.000,00"
"Centro-Oeste";"DF";"2017";"FUNDEB - ITR";"R$213.980,43"
"Centro-Oeste";"DF";"2017";"FUNDEB - LC 87";"R$3.158.025,00"
"Centro-Oeste";"DF";"2018";"FUNDEB - COUN";"R$0,00"
"Centro-Oeste";"DF";"2018";"FUNDEB - FPE";"R$122.823.587,71"
"Centro-Oeste";"DF";"2018";"FUNDEB - FPM";"R$32.229.900,54"
"Centro-Oeste";"DF";"2018";"FUNDEB - ICMS";"R$1.871.611.815,00"
"Centro-Oeste";"DF";"2018";"FUNDEB - IPI-EXP";"R$1.420.577,96"
"Centro-Oeste";"DF";"2018";"FUNDEB - IPVA";"R$383.100.000,00"
"Centro-Oeste";"DF";"2018";"FUNDEB - ITCMD";"R$61.300.000,00"
"Centro-Oeste";"DF";"2018";"FUNDEB - ITR";"R$349.839,70"
"Centro-Oeste";"DF";"2018";"FUNDEB - LC 87";"R$3.093.244,92"
"Centro-Oeste";"DF";"2019";"FUNDEB - COUN";"R$0,00"
"Centro-Oeste";"DF";"2019";"FUNDEB - FPE";"R$133.864.915,75"
"Centro-Oeste";"DF";"2019";"FUNDEB - FPM";"R$34.876.247,99"
"Centro-Oeste";"DF";"2019";"FUNDEB - ICMS";"R$1.589.449.000,00"
"Centro-Oeste";"DF";"2019";"FUNDEB - IPI-EXP";"R$1.199.222,37"
"Centro-Oeste";"DF";"2019";"FUNDEB - IPVA";"R$309.151.000,00"
"Centro-Oeste";"DF";"2019";"FUNDEB - ITCMD";"R$60.250.000,00"
"Centro-Oeste";"DF";"2019";"FUNDEB - ITR";"R$349.450,34"
"Centro-Oeste";"DF";"2019";"FUNDEB - LC 87";"R$0,00"
"Centro-Oeste";"DF";"2020";"FUNDEB - COUN";"R$0,00"
"Centro-Oeste";"DF";"2020";"FUNDEB - FPE";"R$128.022.385,82"
"Centro-Oeste";"DF";"2020";"FUNDEB - FPM";"R$33.498.380,42"
"Centro-Oeste";"DF";"2020";"FUNDEB - ICMS";"R$1.897.830.000,00"
"Centro-Oeste";"DF";"2020";"FUNDEB - IPI-EXP";"R$857.846,48"
"Centro-Oeste";"DF";"2020";"FUNDEB - IPVA";"R$276.100.000,00"
"Centro-Oeste";"DF";"2020";"FUNDEB - ITCMD";"R$37.100.000,00"
"Centro-Oeste";"DF";"2020";"FUNDEB - ITR";"R$288.863,68"
"Centro-Oeste";"DF";"2020";"FUNDEB - LC 87";"R$0,00"
"Centro-Oeste";"DF";"2021";"FUNDEB - COUN";"R$0,00"
"Centro-Oeste";"DF";"2021";"FUNDEB - FPE";"R$171.791.502,28"
"Centro-Oeste";"DF";"2021";"FUNDEB - FPM";"R$44.931.684,23"
"Centro-Oeste";"DF";"2021";"FUNDEB - ICMS";"R$1.943.942.000,00"
"Centro-Oeste";"DF";"2021";"FUNDEB - IPI-EXP";"R$1.388.804,58"
"Centro-Oeste";"DF";"2021";"FUNDEB - IPVA";"R$304.850.000,00"
"Centro-Oeste";"DF";"2021";"FUNDEB - ITCMD";"R$59.800.000,00"
"Centro-Oeste";"DF";"2021";"FUNDEB - ITR";"R$170.530,16"
"Centro-Oeste";"DF";"2021";"FUNDEB - LC 87";"R$0,00"
"Centro-Oeste";"DF";"2022";"FUNDEB - FPE";"R$213.707.837,33"
"Centro-Oeste";"DF";"2022";"FUNDEB - FPM";"R$56.612.300,67"
"Centro-Oeste";"DF";"2022";"FUNDEB - ICMS";"R$2.241.730.000,00"
"Centro-Oeste";"DF";"2022";"FUNDEB - IPI-EXP";"R$1.465.470,41"
"Centro-Oeste";"DF";"2022";"FUNDEB - IPVA";"R$357.300.000,00"
"Centro-Oeste";"DF";"2022";"FUNDEB - ITCMD";"R$64.500.000,00"
"Centro-Oeste";"DF";"2022";"FUNDEB - ITR";"R$322.526,28"
"Centro-Oeste";"DF";"2023";"FUNDEB - COUN VAAF";"R$912.717,48"
"Centro-Oeste";"DF";"2023";"FUNDEB - COUN VAAR";"R$25.767.865,69"
"Centro-Oeste";"DF";"2023";"FUNDEB - FPE";"R$220.464.306,77"
"Centro-Oeste";"DF";"2023";"FUNDEB - FPM";"R$59.119.859,60"
"Centro-Oeste";"DF";"2023";"FUNDEB - ICMS";"R$2.119.846.973,86"
"Centro-Oeste";"DF";"2023";"FUNDEB - IPI-EXP";"R$1.514.454,90"
"Centro-Oeste";"DF";"2023";"FUNDEB - IPVA";"R$337.578.127,40"
"Centro-Oeste";"DF";"2023";"FUNDEB - ITCMD";"R$50.935.235,30"
"Centro-Oeste";"DF";"2023";"FUNDEB - ITR";"R$335.653,66"
"Centro-Oeste";"DF";"2024";"FUNDEB - COUN VAAR";"R$33.000.843,81"
"Centro-Oeste";"DF";"2024";"FUNDEB - FPE";"R$256.204.676,65"
"Centro-Oeste";"DF";"2024";"FUNDEB - FPM";"R$85.664.345,09"
"Centro-Oeste";"DF";"2024";"FUNDEB - ICMS";"R$2.372.867.641,60"
"Centro-Oeste";"DF";"2024";"FUNDEB - IPI-EXP";"R$2.545.567,41"
"Centro-Oeste";"DF";"2024";"FUNDEB - IPVA";"R$370.580.096,60"
"Centro-Oeste";"DF";"2024";"FUNDEB - ITCMD";"R$61.498.581,53"
"Centro-Oeste";"DF";"2024";"FUNDEB - ITR";"R$376.159,82"
"Centro-Oeste";"DF";"2025";"FUNDEB - COUN VAAR";"R$16.825.887,60"
"Centro-Oeste";"DF";"2025";"FUNDEB - FPE";"R$280.212.305,10"
"Centro-Oeste";"DF";"2025";"FUNDEB - FPM";"R$74.091.910,43"
"Centro-Oeste";"DF";"2025";"FUNDEB - FUNDEB - FTI";"R$3.976.611,83"
"Centro-Oeste";"DF";"2025";"FUNDEB - ICMS";"R$2.534.553.751,09"
"Centro-Oeste";"DF";"2025";"FUNDEB - IPI-EXP";"R$1.824.117,74"
"Centro-Oeste";"DF";"2025";"FUNDEB - IPVA";"R$397.703.794,38"
"Centro-Oeste";"DF";"2025";"FUNDEB - ITCMD";"R$94.017.570,35"
"Centro-Oeste";"DF";"2025";"FUNDEB - ITR";"R$306.830,83"
"Centro-Oeste";"DF";"2026";"FUNDEB - COUN VAAF";"R$0,00"
"Centro-Oeste";"DF";"2026";"FUNDEB - COUN VAAR";"R$0,00"
"Centro-Oeste";"DF";"2026";"FUNDEB - COUN VAAT";"R$0,00"
"Centro-Oeste";"DF";"2026";"FUNDEB - FPE";"R$197.598.234,59"
"Centro-Oeste";"DF";"2026";"FUNDEB - FPM";"R$52.292.243,43"
"Centro-Oeste";"DF";"2026";"FUNDEB - FUNDEB - FTI";"R$701.755,03"
"Centro-Oeste";"DF";"2026";"FUNDEB - ICMS";"R$1.750.183.013,53"
"Centro-Oeste";"DF";"2026";"FUNDEB - IPI-EXP";"R$1.587.970,35"
"Centro-Oeste";"DF";"2026";"FUNDEB - IPVA";"R$353.956.989,22"
"Centro-Oeste";"DF";"2026";"FUNDEB - ITCMD";"R$36.844.315,82"
"Centro-Oeste";"DF";"2026";"FUNDEB - ITR";"R$31.602,04"
"Centro-Oeste";"GO";"2016";"FUNDEB - FPE";"R$220.582.212,80"
"Centro-Oeste";"GO";"2016";"FUNDEB - FPM";"R$297.476.719,09"
"Centro-Oeste";"GO";"2016";"FUNDEB - ICMS";"R$1.226.376.469,91"
"Centro-Oeste";"GO";"2016";"FUNDEB - IPI-EXP";"R$9.267.897,96"
