"Regiao";"UF";"Ano";"Transferência";"Valor Consolidado"
"Centro-Oeste";"DF";"2016";"FEX";"R$0,00"
"Centro-Oeste";"DF";"2016";"Royalties";"R$985.232,45"
"Centro-Oeste";"DF";"2017";"Royalties";"R$830.664,80"
"Centro-Oeste";"DF";"2018";"Royalties";"R$723.370,94"
"Centro-Oeste";"DF";"2019";"Cessão Onerosa";"R$31.273.576,50"
"Centro-Oeste";"DF";"2019";"Royalties";"R$593.966,96"
"Centro-Oeste";"DF";"2020";"AFM/AFE";"R$49.438.013,42"
"Centro-Oeste";"DF";"2020";"FEX";"R$0,00"
"Centro-Oeste";"DF";"2020";"LC 173/2020 (PFEC)";"R$704.123.564,16"
"Centro-Oeste";"DF";"2020";"LC 176/2020 (ADO25)";"R$12.146.250,00"
"Centro-Oeste";"DF";"2020";"Royalties";"R$2.097.394,21"
"Centro-Oeste";"DF";"2021";"LC 176/2020 (ADO25)";"R$12.146.250,00"
"Centro-Oeste";"DF";"2021";"Royalties";"R$2.907.005,64"
"Centro-Oeste";"DF";"2022";"Cessão Onerosa";"R$21.947.389,10"
"Centro-Oeste";"DF";"2022";"LC 176/2020 (ADO25)";"R$12.146.250,00"
"Centro-Oeste";"DF";"2022";"Royalties";"R$3.408.038,47"
"Centro-Oeste";"DF";"2023";"AFM/AFE";"R$13.094.421,07"
"Centro-Oeste";"DF";"2023";"LC 176/2020 (ADO25)";"R$12.146.250,00"
"Centro-Oeste";"DF";"2023";"LC 201/2023 – COMPENSAÇÃO ICMS";"R$274.537.920,70"
"Centro-Oeste";"DF";"2023";"Royalties";"R$3.230.168,30"
"Centro-Oeste";"DF";"2024";"LC 176/2020 (ADO25)";"R$12.146.250,00"
"Centro-Oeste";"DF";"2024";"Royalties";"R$5.500.205,95"
"Centro-Oeste";"DF";"2025";"LC 176/2020 (ADO25)";"R$12.146.250,00"
"Centro-Oeste";"DF";"2025";"Royalties";"R$4.689.667,26"
"Centro-Oeste";"DF";"2026";"LC 176/2020 (ADO25)";"R$7.085.312,50"
"Centro-Oeste";"DF";"2026";"Royalties";"R$681.287,30"
"Centro-Oeste";"GO";"2016";"FEX";"R$221.887.575,00"
"Centro-Oeste";"GO";"2016";"Royalties";"R$101.787.189,88"
"Centro-Oeste";"GO";"2017";"FEX";"R$123.712.563,37"
"Centro-Oeste";"GO";"2017";"Royalties";"R$85.720.969,72"
"Centro-Oeste";"GO";"2018";"Royalties";"R$83.916.897,87"
"Centro-Oeste";"GO";"2019";"Cessão Onerosa";"R$186.480.361,04"
"Centro-Oeste";"GO";"2019";"Royalties";"R$73.080.302,29"
"Centro-Oeste";"GO";"2020";"AFM/AFE";"R$199.620.911,76"
"Centro-Oeste";"GO";"2020";"FEX";"R$0,00"
"Centro-Oeste";"GO";"2020";"LC 173/2020 (PFEC)";"R$1.332.470.209,00"
"Centro-Oeste";"GO";"2020";"Royalties";"R$80.678.661,08"
"Centro-Oeste";"GO";"2021";"LC 176/2020 (ADO25)";"R$305.491.228,20"
"Centro-Oeste";"GO";"2021";"Royalties";"R$86.545.113,27"
"Centro-Oeste";"GO";"2022";"AFM/AFE";"R$266.921.525,25"
"Centro-Oeste";"GO";"2022";"Cessão Onerosa";"R$209.754.709,63"
"Centro-Oeste";"GO";"2022";"LC 176/2020 (ADO25)";"R$151.311.763,08"
"Centro-Oeste";"GO";"2022";"Royalties";"R$107.449.583,41"
"Centro-Oeste";"GO";"2023";"AFM/AFE";"R$82.375.544,06"
"Centro-Oeste";"GO";"2023";"LC 176/2020 (ADO25)";"R$166.921.094,04"
"Centro-Oeste";"GO";"2023";"LC 201/2023 – COMPENSAÇÃO ICMS";"R$756.562.152,55"
"Centro-Oeste";"GO";"2023";"Royalties";"R$96.781.331,17"
"Centro-Oeste";"GO";"2024";"LC 176/2020 (ADO25)";"R$193.206.917,28"
"Centro-Oeste";"GO";"2024";"Royalties";"R$111.833.292,98"
"Centro-Oeste";"GO";"2025";"LC 176/2020 (ADO25)";"R$178.250.131,68"
"Centro-Oeste";"GO";"2025";"Royalties";"R$117.786.471,04"
"Centro-Oeste";"GO";"2026";"LC 176/2020 (ADO25)";"R$98.903.533,75"
"Centro-Oeste";"GO";"2026";"Royalties";"R$80.955.270,78"
"Centro-Oeste";"MS";"2016";"FEX";"R$127.456.143,75"
"Centro-Oeste";"MS";"2016";"Royalties";"R$50.636.530,46"
"Centro-Oeste";"MS";"2017";"FEX";"R$80.722.617,75"
"Centro-Oeste";"MS";"2017";"Royalties";"R$43.896.807,93"
"Centro-Oeste";"MS";"2018";"Royalties";"R$39.268.719,13"
"Centro-Oeste";"MS";"2019";"Cessão Onerosa";"R$123.156.180,59"
"Centro-Oeste";"MS";"2019";"Royalties";"R$33.658.751,02"
"Centro-Oeste";"MS";"2020";"AFM/AFE";"R$113.476.796,78"
"Centro-Oeste";"MS";"2020";"FEX";"R$0,00"
"Centro-Oeste";"MS";"2020";"LC 173/2020 (PFEC)";"R$722.599.528,06"
"Centro-Oeste";"MS";"2020";"LC 176/2020 (ADO25)";"R$102.042.900,00"
"Centro-Oeste";"MS";"2020";"Royalties";"R$32.496.140,14"
"Centro-Oeste";"MS";"2021";"LC 176/2020 (ADO25)";"R$104.048.567,04"
"Centro-Oeste";"MS";"2021";"Royalties";"R$37.311.934,14"
"Centro-Oeste";"MS";"2022";"AFM/AFE";"R$32.381.758,40"
"Centro-Oeste";"MS";"2022";"Cessão Onerosa";"R$142.765.556,46"
"Centro-Oeste";"MS";"2022";"LC 176/2020 (ADO25)";"R$104.168.408,52"
"Centro-Oeste";"MS";"2022";"Royalties";"R$43.560.376,25"
"Centro-Oeste";"MS";"2023";"AFM/AFE";"R$29.211.558,02"
"Centro-Oeste";"MS";"2023";"LC 176/2020 (ADO25)";"R$97.974.773,88"
"Centro-Oeste";"MS";"2023";"LC 201/2023 – COMPENSAÇÃO ICMS";"R$156.800.000,00"
"Centro-Oeste";"MS";"2023";"Royalties";"R$45.764.455,97"
"Centro-Oeste";"MS";"2024";"LC 176/2020 (ADO25)";"R$121.025.410,20"
"Centro-Oeste";"MS";"2024";"Royalties";"R$44.196.302,06"
"Centro-Oeste";"MS";"2025";"LC 176/2020 (ADO25)";"R$121.207.820,52"
"Centro-Oeste";"MS";"2025";"Royalties";"R$48.841.070,62"
"Centro-Oeste";"MS";"2026";"LC 176/2020 (ADO25)";"R$61.924.017,61"
"Centro-Oeste";"MS";"2026";"Royalties";"R$32.667.673,41"
"Centro-Oeste";"MT";"2016";"FEX";"R$610.556.017,50"
"Centro-Oeste";"MT";"2016";"Royalties";"R$21.273.128,84"
"Centro-Oeste";"MT";"2017";"FEX";"R$374.915.298,76"
"Centro-Oeste";"MT";"2017";"Royalties";"R$33.362.487,05"
"Centro-Oeste";"MT";"2018";"Royalties";"R$39.726.017,19"
"Centro-Oeste";"MT";"2019";"Cessão Onerosa";"R$324.056.158,75"
"Centro-Oeste";"MT";"2019";"Royalties";"R$38.906.839,90"
"Centro-Oeste";"MT";"2020";"AFM/AFE";"R$159.749.725,39"
"Centro-Oeste";"MT";"2020";"FEX";"R$0,00"
"Centro-Oeste";"MT";"2020";"LC 173/2020 (PFEC)";"R$1.485.643.967,09"
"Centro-Oeste";"MT";"2020";"LC 176/2020 (ADO25)";"R$420.252.450,00"
"Centro-Oeste";"MT";"2020";"Royalties";"R$45.744.675,60"
"Centro-Oeste";"MT";"2021";"LC 176/2020 (ADO25)";"R$447.819.383,76"
"Centro-Oeste";"MT";"2021";"Royalties";"R$49.051.711,47"
"Centro-Oeste";"MT";"2022";"AFM/AFE";"R$153.256.393,35"
"Centro-Oeste";"MT";"2022";"Cessão Onerosa";"R$564.576.395,89"
"Centro-Oeste";"MT";"2022";"LC 176/2020 (ADO25)";"R$463.017.193,44"
"Centro-Oeste";"MT";"2022";"Royalties";"R$66.802.840,07"
"Centro-Oeste";"MT";"2023";"AFM/AFE";"R$33.044.125,26"
"Centro-Oeste";"MT";"2023";"LC 176/2020 (ADO25)";"R$461.078.529,60"
"Centro-Oeste";"MT";"2023";"LC 201/2023 – COMPENSAÇÃO ICMS";"R$615.759.029,10"
"Centro-Oeste";"MT";"2023";"Royalties";"R$54.594.406,22"
"Centro-Oeste";"MT";"2024";"LC 176/2020 (ADO25)";"R$520.254.499,08"
"Centro-Oeste";"MT";"2024";"Royalties";"R$54.645.153,07"
"Centro-Oeste";"MT";"2025";"LC 176/2020 (ADO25)";"R$463.210.586,76"
"Centro-Oeste";"MT";"2025";"Royalties";"R$68.820.414,27"
"Centro-Oeste";"MT";"2026";"LC 176/2020 (ADO25)";"R$245.788.747,82"
"Centro-Oeste";"MT";"2026";"Royalties";"R$49.961.494,33"
"Nordeste";"AL";"2016";"FEX";"R$11.595.285,00"
"Nordeste";"AL";"2016";"Royalties";"R$40.332.361,02"
"Nordeste";"AL";"2017";"FEX";"R$4.060.875,55"
"Nordeste";"AL";"2017";"Royalties";"R$40.425.936,15"
"Nordeste";"AL";"2018";"Royalties";"R$47.893.632,36"
"Nordeste";"AL";"2019";"Cessão Onerosa";"R$191.157.987,93"
"Nordeste";"AL";"2019";"Royalties";"R$45.983.505,09"
"Nordeste";"AL";"2020";"AFM/AFE";"R$337.375.768,01"
"Nordeste";"AL";"2020";"FEX";"R$0,00"
"Nordeste";"AL";"2020";"LC 173/2020 (PFEC)";"R$577.671.925,99"
"Nordeste";"AL";"2020";"LC 176/2020 (ADO25)";"R$13.501.500,00"
"Nordeste";"AL";"2020";"Royalties";"R$46.838.424,28"
"Nordeste";"AL";"2021";"LC 176/2020 (ADO25)";"R$16.498.800,72"
"Nordeste";"AL";"2021";"Royalties";"R$61.707.014,84"
"Nordeste";"AL";"2022";"AFM/AFE";"R$12.960.048,00"
"Nordeste";"AL";"2022";"Cessão Onerosa";"R$73.486.014,90"
"Nordeste";"AL";"2022";"LC 176/2020 (ADO25)";"R$13.577.100,12"
"Nordeste";"AL";"2022";"Royalties";"R$100.116.260,57"
"Nordeste";"AL";"2023";"AFM/AFE";"R$94.717.124,05"
"Nordeste";"AL";"2023";"LC 176/2020 (ADO25)";"R$14.516.550,60"
"Nordeste";"AL";"2023";"Royalties";"R$86.295.846,25"
"Nordeste";"AL";"2024";"LC 176/2020 (ADO25)";"R$17.998.500,48"
"Nordeste";"AL";"2024";"Royalties";"R$87.680.264,25"
"Nordeste";"AL";"2025";"LC 176/2020 (ADO25)";"R$20.460.901,56"
"Nordeste";"AL";"2025";"Royalties";"R$103.474.392,54"
"Nordeste";"AL";"2026";"LC 176/2020 (ADO25)";"R$10.217.025,28"
"Nordeste";"AL";"2026";"Royalties";"R$71.593.212,22"
"Nordeste";"BA";"2016";"FEX";"R$99.268.211,25"
"Nordeste";"BA";"2016";"Royalties";"R$199.444.434,98"
"Nordeste";"BA";"2017";"FEX";"R$57.412.916,99"
"Nordeste";"BA";"2017";"Royalties";"R$199.128.849,17"
"Nordeste";"BA";"2018";"Royalties";"R$258.251.755,42"
"Nordeste";"BA";"2019";"Cessão Onerosa";"R$371.775.986,30"
"Nordeste";"BA";"2019";"Royalties";"R$236.943.569,30"
"Nordeste";"BA";"2020";"AFM/AFE";"R$644.490.994,41"
"Nordeste";"BA";"2020";"FEX";"R$0,00"
"Nordeste";"BA";"2020";"LC 173/2020 (PFEC)";"R$2.022.775.633,38"
"Nordeste";"BA";"2020";"Royalties";"R$217.496.164,85"
"Nordeste";"BA";"2021";"LC 176/2020 (ADO25)";"R$248.990.412,24"
"Nordeste";"BA";"2021";"Royalties";"R$317.111.259,65"
"Nordeste";"BA";"2022";"AFM/AFE";"R$84.934.819,85"
"Nordeste";"BA";"2022";"Cessão Onerosa";"R$235.471.053,12"
"Nordeste";"BA";"2022";"LC 176/2020 (ADO25)";"R$118.956.456,36"
"Nordeste";"BA";"2022";"Royalties";"R$405.977.712,71"
"Nordeste";"BA";"2023";"AFM/AFE";"R$146.763.951,57"
"Nordeste";"BA";"2023";"LC 176/2020 (ADO25)";"R$121.002.319,56"
"Nordeste";"BA";"2023";"LC 201/2023 – COMPENSAÇÃO ICMS";"R$592.588.961,02"
"Nordeste";"BA";"2023";"Royalties";"R$294.647.867,78"
"Nordeste";"BA";"2024";"LC 176/2020 (ADO25)";"R$119.285.256,36"
"Nordeste";"BA";"2024";"Royalties";"R$328.677.700,60"
"Nordeste";"BA";"2025";"LC 176/2020 (ADO25)";"R$120.899.413,08"
"Nordeste";"BA";"2025";"Royalties";"R$359.528.831,45"
"Nordeste";"BA";"2026";"LC 176/2020 (ADO25)";"R$80.787.354,83"
"Nordeste";"BA";"2026";"Royalties";"R$233.295.342,35"
"Nordeste";"CE";"2016";"FEX";"R$520.796,25"
"Nordeste";"CE";"2016";"Royalties";"R$23.909.534,39"
"Nordeste";"CE";"2017";"FEX";"R$1.239.095,76"
"Nordeste";"CE";"2017";"Royalties";"R$28.003.174,50"
"Nordeste";"CE";"2018";"Royalties";"R$41.285.899,23"
"Nordeste";"CE";"2019";"Cessão Onerosa";"R$247.094.720,52"
"Nordeste";"CE";"2019";"Royalties";"R$39.625.748,92"
"Nordeste";"CE";"2020";"AFM/AFE";"R$498.933.497,17"
"Nordeste";"CE";"2020";"FEX";"R$0,00"
"Nordeste";"CE";"2020";"LC 173/2020 (PFEC)";"R$1.219.119.888,16"
"Nordeste";"CE";"2020";"LC 176/2020 (ADO25)";"R$43.001.700,00"
"Nordeste";"CE";"2020";"Royalties";"R$33.063.549,84"
"Nordeste";"CE";"2021";"LC 176/2020 (ADO25)";"R$38.633.402,88"
"Nordeste";"CE";"2021";"Royalties";"R$45.775.728,14"
"Nordeste";"CE";"2022";"AFM/AFE";"R$24.908.534,95"
"Nordeste";"CE";"2022";"Cessão Onerosa";"R$108.939.787,91"
"Nordeste";"CE";"2022";"LC 176/2020 (ADO25)";"R$31.500.300,72"
"Nordeste";"CE";"2022";"Royalties";"R$65.238.023,07"
"Nordeste";"CE";"2023";"AFM/AFE";"R$83.072.742,07"
"Nordeste";"CE";"2023";"LC 176/2020 (ADO25)";"R$35.503.203,36"
"Nordeste";"CE";"2023";"LC 201/2023 – COMPENSAÇÃO ICMS";"R$440.688.144,22"
"Nordeste";"CE";"2023";"Royalties";"R$63.764.252,05"
"Nordeste";"CE";"2024";"LC 176/2020 (ADO25)";"R$25.251.600,12"
"Nordeste";"CE";"2024";"Royalties";"R$71.558.593,82"
"Nordeste";"CE";"2025";"LC 176/2020 (ADO25)";"R$24.432.150,00"
"Nordeste";"CE";"2025";"LC 201/2023 – COMPENSAÇÃO ICMS";"R$75.660.422,36"
"Nordeste";"CE";"2025";"Royalties";"R$78.421.870,15"
"Nordeste";"CE";"2026";"LC 176/2020 (ADO25)";"R$15.298.412,57"
"Nordeste";"CE";"2026";"Royalties";"R$54.294.945,26"
"Nordeste";"MA";"2016";"FEX";"R$53.241.142,50"
"Nordeste";"MA";"2016";"Royalties";"R$55.368.915,39"
"Nordeste";"MA";"2017";"FEX";"R$24.465.263,56"
"Nordeste";"MA";"2017";"Royalties";"R$57.625.301,98"
"Nordeste";"MA";"2018";"Royalties";"R$79.727.347,61"
"Nordeste";"MA";"2019";"Cessão Onerosa";"R$274.979.732,32"
"Nordeste";"MA";"2019";"Royalties";"R$54.889.976,32"
"Nordeste";"MA";"2020";"AFM/AFE";"R$507.876.840,52"
"Nordeste";"MA";"2020";"FEX";"R$0,00"
"Nordeste";"MA";"2020";"LC 173/2020 (PFEC)";"R$983.899.555,29"
"Nordeste";"MA";"2020";"LC 176/2020 (ADO25)";"R$56.254.050,00"
"Nordeste";"MA";"2020";"Royalties";"R$68.323.349,27"
"Nordeste";"MA";"2021";"LC 176/2020 (ADO25)";"R$55.569.906,12"
"Nordeste";"MA";"2021";"Royalties";"R$161.545.507,25"
"Nordeste";"MA";"2022";"AFM/AFE";"R$9.942.431,75"
"Nordeste";"MA";"2022";"Cessão Onerosa";"R$143.581.103,32"
"Nordeste";"MA";"2022";"LC 176/2020 (ADO25)";"R$57.402.453,24"
"Nordeste";"MA";"2022";"Royalties";"R$160.241.783,37"
"Nordeste";"MA";"2023";"AFM/AFE";"R$125.363.129,01"
"Nordeste";"MA";"2023";"LC 176/2020 (ADO25)";"R$63.929.261,64"
"Nordeste";"MA";"2023";"Royalties";"R$104.500.064,21"
"Nordeste";"MA";"2024";"LC 176/2020 (ADO25)";"R$70.926.154,56"
"Nordeste";"MA";"2024";"Royalties";"R$116.776.872,77"
"Nordeste";"MA";"2025";"LC 176/2020 (ADO25)";"R$63.361.057,68"
"Nordeste";"MA";"2025";"Royalties";"R$157.695.278,37"
"Nordeste";"MA";"2026";"LC 176/2020 (ADO25)";"R$36.782.552,24"
"Nordeste";"MA";"2026";"Royalties";"R$117.284.632,97"
"Nordeste";"PB";"2016";"FEX";"R$5.042.407,50"
"Nordeste";"PB";"2016";"Royalties";"R$10.131.543,85"
"Nordeste";"PB";"2017";"FEX";"R$1.644.151,68"
"Nordeste";"PB";"2017";"Royalties";"R$13.356.529,12"
"Nordeste";"PB";"2018";"Royalties";"R$18.810.982,12"
"Nordeste";"PB";"2019";"Cessão Onerosa";"R$152.042.690,49"
"Nordeste";"PB";"2019";"Royalties";"R$17.754.570,05"
"Nordeste";"PB";"2020";"AFM/AFE";"R$320.529.458,59"
"Nordeste";"PB";"2020";"FEX";"R$0,00"
"Nordeste";"PB";"2020";"LC 173/2020 (PFEC)";"R$639.144.921,71"
"Nordeste";"PB";"2020";"LC 176/2020 (ADO25)";"R$4.936.500,00"
"Nordeste";"PB";"2020";"Royalties";"R$18.924.117,61"
"Nordeste";"PB";"2021";"LC 176/2020 (ADO25)";"R$4.695.450,12"
"Nordeste";"PB";"2021";"Royalties";"R$29.676.937,81"
"Nordeste";"PB";"2022";"AFM/AFE";"R$24.871.073,80"
"Nordeste";"PB";"2022";"Cessão Onerosa";"R$51.962.680,30"
"Nordeste";"PB";"2022";"LC 176/2020 (ADO25)";"R$4.312.500,00"
"Nordeste";"PB";"2022";"Royalties";"R$46.969.377,29"
"Nordeste";"PB";"2023";"AFM/AFE";"R$93.243.089,95"
"Nordeste";"PB";"2023";"LC 176/2020 (ADO25)";"R$4.312.500,00"
"Nordeste";"PB";"2023";"LC 201/2023 – COMPENSAÇÃO ICMS";"R$369.208.378,63"
"Nordeste";"PB";"2023";"Royalties";"R$41.985.978,95"
"Nordeste";"PB";"2024";"LC 176/2020 (ADO25)";"R$4.312.500,00"
"Nordeste";"PB";"2024";"Royalties";"R$45.377.160,85"
"Nordeste";"PB";"2025";"LC 176/2020 (ADO25)";"R$4.383.450,00"
"Nordeste";"PB";"2025";"Royalties";"R$48.685.223,76"
"Nordeste";"PB";"2026";"LC 176/2020 (ADO25)";"R$2.748.550,00"
"Nordeste";"PB";"2026";"Royalties";"R$35.011.784,36"
"Nordeste";"PE";"2016";"FEX";"R$2.310.018,75"
"Nordeste";"PE";"2016";"Royalties";"R$16.190.545,47"
