"UF";"Município";"Ano";"Transferência";"Valor Consolidado";"Código IBGE";"Código SIAFI"
"AC";"Acrelândia";"2016";"FEX";"R$9.581,03";"1200013";"643"
"AC";"Acrelândia";"2016";"Royalties - FEP";"R$73.460,56";"1200013";"643"
"AC";"Acrelândia";"2017";"FEX";"R$1.384,57";"1200013";"643"
"AC";"Acrelândia";"2017";"Royalties - FEP";"R$93.561,41";"1200013";"643"
"AC";"Acrelândia";"2018";"Royalties - FEP";"R$143.668,09";"1200013";"643"
"AC";"Acrelândia";"2019";"Cessão Onerosa - PBAM";"R$488.534,52";"1200013";"643"
"AC";"Acrelândia";"2019";"Royalties - FEP";"R$143.956,50";"1200013";"643"
"AC";"Acrelândia";"2020";"AFM/AFE - AUX";"R$740.552,20";"1200013";"643"
"AC";"Acrelândia";"2020";"FEX";"R$0,00";"1200013";"643"
"AC";"Acrelândia";"2020";"LC 173/2020 (PFEC) - LC 173/2020 - PFEC INCISO I";"R$221.386,39";"1200013";"643"
"AC";"Acrelândia";"2020";"LC 173/2020 (PFEC) - LC 173/2020 - PFEC INCISO II";"R$2.324.280,02";"1200013";"643"
"AC";"Acrelândia";"2020";"Royalties - FEP";"R$142.368,09";"1200013";"643"
"AC";"Acrelândia";"2021";"LC 176/2020 (ADO25)";"R$14.578,46";"1200013";"643"
"AC";"Acrelândia";"2021";"Royalties - FEP";"R$230.816,09";"1200013";"643"
"AC";"Acrelândia";"2022";"Cessão Onerosa - PBAM";"R$158.136,72";"1200013";"643"
"AC";"Acrelândia";"2022";"LC 176/2020 (ADO25)";"R$6.254,88";"1200013";"643"
"AC";"Acrelândia";"2022";"Royalties - FEP";"R$360.769,60";"1200013";"643"
"AC";"Acrelândia";"2023";"AFM/AFE - AUX";"R$373.158,83";"1200013";"643"
"AC";"Acrelândia";"2023";"LC 176/2020 (ADO25)";"R$6.675,12";"1200013";"643"
"AC";"Acrelândia";"2023";"Royalties - FEP";"R$322.054,87";"1200013";"643"
"AC";"Acrelândia";"2024";"LC 176/2020 (ADO25)";"R$7.669,32";"1200013";"643"
"AC";"Acrelândia";"2024";"Royalties - CFEM";"R$728,33";"1200013";"643"
"AC";"Acrelândia";"2024";"Royalties - FEP";"R$348.912,57";"1200013";"643"
"AC";"Acrelândia";"2025";"LC 176/2020 (ADO25)";"R$11.544,12";"1200013";"643"
"AC";"Acrelândia";"2025";"Royalties - CFEM";"R$1.271,26";"1200013";"643"
"AC";"Acrelândia";"2025";"Royalties - FEP";"R$362.805,19";"1200013";"643"
"AC";"Acrelândia";"2026";"LC 176/2020 (ADO25)";"R$9.524,06";"1200013";"643"
"AC";"Acrelândia";"2026";"Royalties - CFEM";"R$284,43";"1200013";"643"
"AC";"Acrelândia";"2026";"Royalties - FEP";"R$261.428,02";"1200013";"643"
"AC";"Assis Brasil";"2016";"FEX";"R$10.907,64";"1200054";"157"
"AC";"Assis Brasil";"2016";"Royalties - FEP";"R$44.076,34";"1200054";"157"
"AC";"Assis Brasil";"2017";"FEX";"R$1.576,28";"1200054";"157"
"AC";"Assis Brasil";"2017";"Royalties - FEP";"R$56.136,83";"1200054";"157"
"AC";"Assis Brasil";"2018";"Royalties - FEP";"R$86.200,85";"1200054";"157"
"AC";"Assis Brasil";"2019";"Cessão Onerosa - PBAM";"R$293.120,71";"1200054";"157"
"AC";"Assis Brasil";"2019";"Royalties - FEP";"R$86.373,92";"1200054";"157"
"AC";"Assis Brasil";"2020";"AFM/AFE - AUX";"R$444.331,30";"1200054";"157"
"AC";"Assis Brasil";"2020";"FEX";"R$0,00";"1200054";"157"
"AC";"Assis Brasil";"2020";"LC 173/2020 (PFEC) - LC 173/2020 - PFEC INCISO I";"R$107.642,92";"1200054";"157"
"AC";"Assis Brasil";"2020";"LC 173/2020 (PFEC) - LC 173/2020 - PFEC INCISO II";"R$1.130.115,27";"1200054";"157"
"AC";"Assis Brasil";"2020";"LC 176/2020 (ADO25)";"R$9.109,54";"1200054";"157"
"AC";"Assis Brasil";"2020";"Royalties - FEP";"R$85.420,85";"1200054";"157"
"AC";"Assis Brasil";"2021";"LC 176/2020 (ADO25)";"R$7.034,04";"1200054";"157"
"AC";"Assis Brasil";"2021";"Royalties - FEP";"R$138.489,62";"1200054";"157"
"AC";"Assis Brasil";"2022";"Cessão Onerosa - PBAM";"R$97.351,92";"1200054";"157"
"AC";"Assis Brasil";"2022";"LC 176/2020 (ADO25)";"R$6.222,84";"1200054";"157"
"AC";"Assis Brasil";"2022";"Royalties - FEP";"R$216.461,75";"1200054";"157"
"AC";"Assis Brasil";"2023";"AFM/AFE - AUX";"R$223.895,31";"1200054";"157"
"AC";"Assis Brasil";"2023";"LC 176/2020 (ADO25)";"R$6.167,28";"1200054";"157"
"AC";"Assis Brasil";"2023";"Royalties - FEP";"R$195.558,61";"1200054";"157"
"AC";"Assis Brasil";"2024";"LC 176/2020 (ADO25)";"R$6.735,60";"1200054";"157"
"AC";"Assis Brasil";"2024";"Royalties - FEP";"R$209.347,54";"1200054";"157"
"AC";"Assis Brasil";"2025";"LC 176/2020 (ADO25)";"R$10.018,92";"1200054";"157"
"AC";"Assis Brasil";"2025";"Royalties - FEP";"R$217.683,10";"1200054";"157"
"AC";"Assis Brasil";"2026";"LC 176/2020 (ADO25)";"R$7.100,87";"1200054";"157"
"AC";"Assis Brasil";"2026";"Royalties - FEP";"R$156.856,83";"1200054";"157"
"AC";"Brasiléia";"2016";"FEX";"R$33.533,63";"1200104";"105"
"AC";"Brasiléia";"2016";"Royalties - FEP";"R$102.844,78";"1200104";"105"
"AC";"Brasiléia";"2017";"FEX";"R$4.846,01";"1200104";"105"
"AC";"Brasiléia";"2017";"Royalties - CFEM";"R$2.553,07";"1200104";"105"
"AC";"Brasiléia";"2017";"Royalties - FEP";"R$130.985,95";"1200104";"105"
"AC";"Brasiléia";"2018";"Royalties - CFEM";"R$5.633,54";"1200104";"105"
"AC";"Brasiléia";"2018";"Royalties - FEP";"R$201.135,34";"1200104";"105"
"AC";"Brasiléia";"2019";"Cessão Onerosa - PBAM";"R$683.948,33";"1200104";"105"
"AC";"Brasiléia";"2019";"Royalties - CFEM";"R$5.118,42";"1200104";"105"
"AC";"Brasiléia";"2019";"Royalties - FEP";"R$201.539,11";"1200104";"105"
"AC";"Brasiléia";"2020";"AFM/AFE - AUX";"R$1.036.773,06";"1200104";"105"
"AC";"Brasiléia";"2020";"FEX";"R$0,00";"1200104";"105"
"AC";"Brasiléia";"2020";"LC 173/2020 (PFEC) - LC 173/2020 - PFEC INCISO I";"R$381.406,68";"1200104";"105"
"AC";"Brasiléia";"2020";"LC 173/2020 (PFEC) - LC 173/2020 - PFEC INCISO II";"R$4.004.288,51";"1200104";"105"
"AC";"Brasiléia";"2020";"LC 176/2020 (ADO25)";"R$28.106,31";"1200104";"105"
"AC";"Brasiléia";"2020";"Royalties - CFEM";"R$5.358,16";"1200104";"105"
"AC";"Brasiléia";"2020";"Royalties - FEP";"R$199.315,34";"1200104";"105"
"AC";"Brasiléia";"2021";"LC 176/2020 (ADO25)";"R$21.627,60";"1200104";"105"
"AC";"Brasiléia";"2021";"Royalties - CFEM";"R$4.395,57";"1200104";"105"
"AC";"Brasiléia";"2021";"Royalties - FEP";"R$323.142,48";"1200104";"105"
"AC";"Brasiléia";"2022";"Cessão Onerosa - PBAM";"R$232.260,53";"1200104";"105"
"AC";"Brasiléia";"2022";"LC 176/2020 (ADO25)";"R$19.625,88";"1200104";"105"
"AC";"Brasiléia";"2022";"Royalties - CFEM";"R$1.954,78";"1200104";"105"
"AC";"Brasiléia";"2022";"Royalties - FEP";"R$505.077,39";"1200104";"105"
"AC";"Brasiléia";"2023";"AFM/AFE - AUX";"R$522.422,38";"1200104";"105"
"AC";"Brasiléia";"2023";"LC 176/2020 (ADO25)";"R$19.553,16";"1200104";"105"
"AC";"Brasiléia";"2023";"Royalties - FEP";"R$456.303,39";"1200104";"105"
"AC";"Brasiléia";"2024";"LC 176/2020 (ADO25)";"R$19.774,44";"1200104";"105"
"AC";"Brasiléia";"2024";"Royalties - CFEM";"R$804,69";"1200104";"105"
"AC";"Brasiléia";"2024";"Royalties - FEP";"R$488.477,57";"1200104";"105"
"AC";"Brasiléia";"2025";"LC 176/2020 (ADO25)";"R$29.588,64";"1200104";"105"
"AC";"Brasiléia";"2025";"Royalties - CFEM";"R$1.501,38";"1200104";"105"
"AC";"Brasiléia";"2025";"Royalties - FEP";"R$507.927,26";"1200104";"105"
"AC";"Brasiléia";"2026";"LC 176/2020 (ADO25)";"R$22.520,75";"1200104";"105"
"AC";"Brasiléia";"2026";"Royalties - CFEM";"R$356,48";"1200104";"105"
"AC";"Brasiléia";"2026";"Royalties - FEP";"R$365.999,27";"1200104";"105"
"AC";"Bujari";"2016";"FEX";"R$10.023,25";"1200138";"645"
"AC";"Bujari";"2016";"Royalties - FEP";"R$44.076,34";"1200138";"645"
"AC";"Bujari";"2017";"FEX";"R$1.448,48";"1200138";"645"
"AC";"Bujari";"2017";"Royalties - FEP";"R$56.136,83";"1200138";"645"
"AC";"Bujari";"2018";"Royalties - FEP";"R$86.200,85";"1200138";"645"
"AC";"Bujari";"2019";"Cessão Onerosa - PBAM";"R$293.120,71";"1200138";"645"
"AC";"Bujari";"2019";"Royalties - FEP";"R$86.373,92";"1200138";"645"
"AC";"Bujari";"2020";"FEX";"R$0,00";"1200138";"645"
"AC";"Bujari";"2020";"LC 173/2020 (PFEC) - LC 173/2020 - PFEC INCISO I";"R$148.961,91";"1200138";"645"
"AC";"Bujari";"2020";"LC 173/2020 (PFEC) - LC 173/2020 - PFEC INCISO II";"R$1.563.914,24";"1200138";"645"
"AC";"Bujari";"2020";"Royalties - FEP";"R$113.894,50";"1200138";"645"
"AC";"Bujari";"2021";"LC 176/2020 (ADO25)";"R$15.087,80";"1200138";"645"
"AC";"Bujari";"2021";"Royalties - FEP";"R$184.652,88";"1200138";"645"
"AC";"Bujari";"2022";"Cessão Onerosa - PBAM";"R$127.896,32";"1200138";"645"
"AC";"Bujari";"2022";"LC 176/2020 (ADO25)";"R$6.390,84";"1200138";"645"
"AC";"Bujari";"2022";"Royalties - FEP";"R$288.615,67";"1200138";"645"
"AC";"Bujari";"2023";"AFM/AFE - AUX";"R$298.527,07";"1200138";"645"
"AC";"Bujari";"2023";"LC 176/2020 (ADO25)";"R$6.347,28";"1200138";"645"
"AC";"Bujari";"2023";"Royalties - FEP";"R$260.744,81";"1200138";"645"
"AC";"Bujari";"2024";"LC 176/2020 (ADO25)";"R$7.280,28";"1200138";"645"
"AC";"Bujari";"2024";"Royalties - CFEM";"R$395,34";"1200138";"645"
"AC";"Bujari";"2024";"Royalties - FEP";"R$279.130,01";"1200138";"645"
"AC";"Bujari";"2025";"LC 176/2020 (ADO25)";"R$10.493,76";"1200138";"645"
"AC";"Bujari";"2025";"Royalties - CFEM";"R$849,47";"1200138";"645"
"AC";"Bujari";"2025";"Royalties - FEP";"R$362.805,19";"1200138";"645"
"AC";"Bujari";"2026";"LC 176/2020 (ADO25)";"R$8.444,87";"1200138";"645"
"AC";"Bujari";"2026";"Royalties - CFEM";"R$202,17";"1200138";"645"
